SKU;Style;Manufacturer;Name;Colour;Size;Farbtyp;Groessentyp;UVP;Weight KG;Status;Packshot;EAN;Manufacturer SKU
33000534399;33.0005;Atlantis;Atlantis | Liberty Sandwich;light green/white;onesize;colors;all;3,67;0,09;ACTUAL;25C57689-D4C7-4CEB-9EC6-4408CE777762.jpg;8028661368439;LISAVECH
33000541399;33.0005;Atlantis;Atlantis | Liberty Sandwich;pink/white;onesize;colors;all;3,67;0,09;ACTUAL;18888415-9EA4-494F-BDC0-D668AE74E9AD.jpg;8028661160293;LISARS
33000544399;33.0005;Atlantis;Atlantis | Liberty Sandwich;red/navy/red;onesize;colors;all;3,67;0,09;ACTUAL;B1307AFD-1A64-4118-AFCA-AA69AB817915.jpg;8028661160286;LISARONV
33000554499;33.0005;Atlantis;Atlantis | Liberty Sandwich;olive/natural;onesize;colors;all;3,67;0,09;ACTUAL;E4C29616-845C-4F27-954A-99907815B1C3.jpg;8028661160262;LISAOL
33000580899;33.0005;Atlantis;Atlantis | Liberty Sandwich;black/black;onesize;colors;all;3,67;0,09;ACTUAL;81949EAC-3B5C-4A28-96B5-F3D4D8B5D5C1.jpg;8028661160217;LISANRNR
33000581499;33.0005;Atlantis;Atlantis | Liberty Sandwich;black/red;onesize;colors;all;3,67;0,09;ACTUAL;87D1A43F-194A-4193-9632-9C18D304690A.jpg;8028661160224;LISANRRO
33000584499;33.0005;Atlantis;Atlantis | Liberty Sandwich;green/white;onesize;colors;all;3,67;0,09;ACTUAL;E86CCCF8-D246-4B98-935F-737A47FF9504.jpg;8028661160316;LISAVE
33000585799;33.0005;Atlantis;Atlantis | Liberty Sandwich;navy/navy;onesize;colors;all;3,67;0,09;ACTUAL;AFDE1300-9C65-4909-AA07-713F0FB207EB.jpg;8028661160255;LISANVNV
33000588899;33.0005;Atlantis;Atlantis | Liberty Sandwich;royal/white;onesize;colors;all;3,67;0,09;ACTUAL;B06F4D87-259D-40FD-B697-57F3C3287493.jpg;8028661160309;LISARY
33000589699;33.0005;Atlantis;Atlantis | Liberty Sandwich;turquoise/white;onesize;colors;all;3,67;0,09;SELLOUT;1E595574-7C6B-43E3-B59B-2A6027B6304B.jpg;8028661368422;LISATU
33000590299;33.0005;Atlantis;Atlantis | Liberty Sandwich;white/white;onesize;colors;all;3,67;0,09;ACTUAL;29641E70-F3E3-464B-93A5-0077FFC69FC3.jpg;8028661160095;LISABIBI
33000590899;33.0005;Atlantis;Atlantis | Liberty Sandwich;white/navy;onesize;colors;all;3,67;0,09;ACTUAL;A218DA4C-9CEE-47A6-8D79-B4CACB21502B.jpg;8028661160088;LISABI
33000592799;33.0005;Atlantis;Atlantis | Liberty Sandwich;dark grey/white;onesize;colors;all;3,67;0,09;ACTUAL;C97810CD-9C1C-428D-884E-3ADF15ADAC1B.jpg;8028661337411;LISAGRSC
33000594199;33.0005;Atlantis;Atlantis | Liberty Sandwich;red/white;onesize;colors;all;3,67;0,09;ACTUAL;24D6248A-1704-4565-B5C5-2DC867B4F9E4.jpg;8028661160279;LISARO
33000595999;33.0005;Atlantis;Atlantis | Liberty Sandwich;light blue/white;onesize;colors;all;3,67;0,09;ACTUAL;24EE99DF-5A4F-4BEA-B99D-1E5F18A78FA3.jpg;8028661160071;LISAAZ
33000596399;33.0005;Atlantis;Atlantis | Liberty Sandwich;navy/white;onesize;colors;all;3,67;0,09;ACTUAL;58209D9B-E3EB-4555-977F-7154411EA5C3.jpg;8028661160231;LISANV
